raw_supplier_name,supplier_id_canonical,supplier_name_canonical
NordPetrol Refining GmbH,SUP-101,NordPetrol Refining GmbH
Iberia Base Oils S.L.,SUP-102,Iberia Base Oils S.L.
Iberia Base Oils,SUP-102,Iberia Base Oils S.L.
Baltic Petrochemical Works,SUP-103,Baltic Petrochemical Works
Nordic Hydrotreated Oils AB,SUP-104,Nordic Hydrotreated Oils AB
Atlas Lubricant Solutions,SUP-105,Atlas Lubricant Solutions
Rhine Solvent Works GmbH,SUP-201,Rhine Solvent Works GmbH
Danube Chemical Traders,SUP-202,Danube Chemical Traders
Nordic BioSolvents AS,SUP-203,Nordic BioSolvents AS
Atlantic Solvent Supply Ltd,SUP-204,Atlantic Solvent Supply Ltd
Circular Solvents Recovery GmbH,SUP-205,Circular Solvents Recovery GmbH
Continental Surfactants BV,SUP-301,Continental Surfactants BV
Meridian Green Chemicals,SUP-302,Meridian Green Chemicals
Pannonia Chemical Supply,SUP-303,Pannonia Chemical Supply
Baltic Biosurfactants Oy,SUP-304,Baltic Biosurfactants Oy
Iberia Specialty Surfactants SA,SUP-305,Iberia Specialty Surfactants SA
Rhein Polymer Additives GmbH,SUP-401,Rhein Polymer Additives GmbH
Meridian Polymer Innovations Srl,SUP-402,Meridian Polymer Innovations Srl
Baltic Specialty Additives AB,SUP-403,Baltic Specialty Additives AB
Atlas Polymer Chemicals Ltd,SUP-404,Atlas Polymer Chemicals Ltd
Iberia Additive Solutions SA,SUP-405,Iberia Additive Solutions SA
Rhine Resin Technologies GmbH,SUP-501,Rhine Resin Technologies GmbH
Danube Polymer Resins Kft,SUP-502,Danube Polymer Resins Kft
Baltic Binder Solutions AS,SUP-503,Baltic Binder Solutions AS
Iberia Resin Systems SL,SUP-504,Iberia Resin Systems SL
Nordic Binder Chemicals AB,SUP-505,Nordic Binder Chemicals AB
